latitude,longitude,bright_ti4
-13.16615,141.97414,336.3
-13.03561,135.73056,344.9
-13.61965,130.89253,332.8
-12.16636,135.521,347.8
-16.08161,125.91444,334.6
-12.24419,134.83475,347
-15.1426,129.93732,333.3
-13.98153,130.59512,343.9
-12.82629,135.72945,342.6
-15.48586,130.43936,344.9
-12.40318,134.89735,347.3
-12.39707,134.89278,341
-12.40039,134.8933,335.9
-13.03662,131.03203,347
-15.48156,130.48047,335.5
-15.48578,130.44714,333.4
-15.47409,130.46613,338.4
-15.19918,130.26778,339.2
-13.25538,142.52489,340.6
-13.60395,141.73604,342.7
-15.50312,130.59833,344.1
-12.96758,136.01192,340.8
-15.23259,130.20056,340.1
-14.16432,130.62503,341.7
-13.25543,135.70824,338
-15.48069,130.47801,345.6
-15.1849,130.34763,341.5
-14.16471,130.62256,343.1
-15.19078,130.33368,353.6
-15.19437,130.33777,367
-13.27212,135.68887,335.6
-13.98411,130.60573,335.7
-13.27268,135.68529,331.4
-16.07729,125.90304,367
-12.83633,135.73108,331.5
-13.25526,142.52731,346.9
-13.24368,142.56262,336.2
-15.16309,129.90869,332.8
-12.88263,136.1702,333.1
-15.50381,130.593,343.9
-13.28769,135.67667,339.7
-16.07573,125.91743,367
-13.04414,131.03311,342.5
-15.38968,130.45454,341.1
-15.48887,130.67697,352.6
-15.48489,130.48647,337.4
-15.48028,130.45831,342.9
-13.02057,135.7171,343.3
-15.48684,130.50319,334.6
-12.17025,135.51794,348.5
-12.1658,135.52457,347.8
-12.4065,134.89787,336.6
-13.62021,141.96074,367
-16.08002,125.92902,334.7
-16.08081,125.92171,367
-13.2488,142.56117,340.8
-16.08121,125.91808,339
-15.1764,129.93651,356.4
-12.18066,135.50914,337.8
-14.15603,130.59808,350.6
-12.53499,143.28705,334.2
-13.03512,135.18579,345.8
-12.17135,135.51079,341.5
-13.22626,141.98059,336.5
-13.32329,135.66768,345.8
-13.21435,135.73792,339.7
-13.02726,135.71817,330.7
-12.88513,135.48203,349.4
-14.1579,130.61365,330.4
-13.20794,142.05594,335.3
-13.30883,135.6727,332.6
-12.93002,143.28954,339.3
-12.55905,141.90099,342.9
-12.26252,134.51172,343.2
-12.3197,134.91602,339.1
-15.16254,129.91302,350.9
-13.04038,131.03256,338.5
-15.15742,129.92012,353.6
-12.1708,135.51437,347.9
-13.97635,130.57388,332.3
-12.19404,135.51125,344.8
-15.15794,129.91603,349.7
-15.17176,129.93977,351.3
-12.17398,135.50809,349.3
-13.31606,135.6702,348.3
-14.15996,130.59851,342.7
-15.51143,130.5341,338.7
-12.17064,135.52954,347.4
-12.38533,134.73068,331.6
-16.13184,126.01559,332.4
-15.51003,130.54491,346.8
-12.25973,134.50766,343.6
-15.50934,130.55026,350.3
-11.83074,142.17978,352.9
-12.17732,135.50861,346.2
-12.53444,143.29005,334.9
-15.15846,129.91193,336.5
-16.08041,125.92537,350.4
-12.29131,134.87894,341.3
-12.93875,135.76672,337.2
-15.50588,130.577,354.1
-14.17075,130.02814,345.2
-12.16691,135.51741,351.1
-12.18122,135.50557,346.8
-11.84307,142.19263,332.1
-11.74838,131.0603,346
-11.72605,130.41885,354.2
-11.72541,130.42366,347.1
-11.73204,130.66031,339.8
-11.654,130.3616,367
-11.599,132.99741,333.9
-11.65465,130.3568,333.3
-11.49047,130.2439,367
-11.71195,130.42368,343.3
-11.65072,130.38574,367
-11.7471,131.05885,335.1
-11.60294,132.9942,330.9
-11.7434,131.05833,337.7
-11.65137,130.38095,350.2
-11.71579,130.42418,345
-11.66792,130.40295,367
-11.68579,130.41508,337.8
-11.64312,130.35515,348.4
-11.70429,130.42261,332
-11.65016,130.36105,354.9
-11.73538,131.0721,349.1
-11.66726,130.40776,333.8
-11.71963,130.4247,334.4
-11.72482,130.4156,347.8
-11.64247,130.35994,349.4
-11.7508,131.05939,355.2
-11.74035,131.06371,349.4
-11.74098,131.05927,344
-11.6998,130.42677,333.3
-11.64697,130.35568,347.3
-11.70046,130.42207,367
-11.26243,131.88861,331
-11.23065,131.88385,356
-11.51478,130.26726,340.8
-11.50388,130.26079,342.5
-11.37934,130.32475,333.2
-11.22244,131.89085,367
-11.22712,131.88333,355.4
-11.61159,130.55905,337.7
-11.70762,131.08183,331.8
-11.7111,132.94609,341.3
-11.57501,132.63808,350.2
-11.56937,132.65276,335.2
-11.56593,132.65224,336.5
-11.55084,132.70787,347.5
-11.55546,132.62743,354.9
-11.54873,132.6497,346.1
-11.53351,132.68217,340.8
-11.53661,132.63628,347.7
-11.53481,132.62434,355.6
-11.53246,132.61624,344.4
-11.534,132.75163,341.4
-11.41906,130.83919,331.7
-11.40289,130.84601,337
-11.39916,130.84549,354
-11.40166,130.82761,351.2
-11.39855,130.82262,347.5
-11.45024,130.50623,340.3
-11.4382,130.50928,334.3
-11.43568,130.4994,349.4
-11.43762,130.48532,338.3
-11.43059,130.50819,342.8
-11.42615,130.51231,346
-11.42807,130.49834,352.4
-11.42363,130.50249,353.4
-11.42214,130.8443,343.3
-11.41961,130.86227,367
-11.41279,130.85672,339.9
-11.52714,132.75058,347.3
-11.52193,132.7382,334.1
-33.71,122.20275,326.7
-35.09685,117.59098,346
-34.70092,117.75768,345.4
-35.09292,117.61356,329.9
-34.56343,118.53164,338.7
-33.79201,120.78273,342.1
-34.38587,119.02886,327.9
-34.40926,119.08084,330.2
-33.34175,120.88506,367
-34.10207,117.26057,326.9
-34.09864,117.2597,339.8
-31.27618,115.84326,340.9
-31.27816,115.85242,339.6
-31.26226,115.90551,334.4
-31.27279,115.84248,350.9
-33.31757,120.94082,351.8
-33.31409,120.95777,352.6
-33.33516,120.89656,350.2
-33.33918,120.89771,328.4
-32.95467,116.04124,343.1
-32.97984,116.08158,328.6
-34.1444,116.38369,332.7
-33.26683,121.062,328.9
-33.31092,120.95238,345
-33.30744,120.96935,331.1
-31.52143,115.77911,339
-33.94709,116.72816,338.4
-33.69146,117.59735,329.8
-32.94765,116.52829,333.9
-33.54569,116.57308,325.1
-31.3529,115.82546,328.6
-32.86084,116.54482,335.4
-33.94563,116.73685,331.4
-30.82912,116.06738,345.8
-30.05219,114.98757,340.1
-30.28977,115.22798,351.6
-29.87488,115.5174,340.7
-22.26312,124.89789,330.2
-22.26582,124.88667,351.3
-20.78995,119.43768,332.3
-20.78728,119.42824,348.5
-20.7852,119.43662,340.9
-20.78035,119.43806,367
-17.24009,123.81618,351.8
-17.23654,123.81821,367
-17.23874,123.82217,367
-29.26303,150.40143,303.5
-27.2363,151.19676,312.3
-31.30199,151.33191,295
-32.25507,149.2029,302.8
-32.57359,148.44023,306.2
-31.19692,151.49353,296.1
-31.49406,150.95827,303
-38.22901,147.16289,335.3
-13.26836,142.53384,305.9
-12.56141,141.89601,341.2
-11.65948,130.4017,304.9
-11.74983,131.06209,298.6
-12.44175,142.18066,302.4
-13.28545,142.4892,304.5
-11.7034,130.4209,298.7
-13.28606,142.49289,303.7
-12.24557,134.8362,301
-11.69633,130.42218,304.3
-11.72288,130.42316,296
-13.28884,142.48859,300.5
-11.66259,130.40125,305
-11.41475,130.46367,301
-11.41618,130.47066,299.7
-13.04506,141.81148,299.5
-13.25754,141.97873,324.4
-12.5494,142.45461,301.4
-13.63685,143.51947,304.3
-13.51055,142.64824,314.9
-13.51908,142.6581,304.9
-13.58314,142.64009,300.2
-13.29013,142.00465,303.4
-13.26199,142.00558,322
-13.96629,142.37527,304.8
-13.25856,142.0062,305.7
-13.25104,142.00354,302.2
-13.24416,142.0047,300.6
